ID,ORG_CODE,ORG_SHORTNAME,ORG_TYPE,ORG_NAME,REPORT_ORG
380,BCW64,TTF,AO,AP Toddy Tappers Co-Operative Societies Federation Ltd,BCW01
381,BCW65,BCR,AO,MJPAPBBCW Residential Education Society,BCW01
1736,BCW66,EBC,AO,AP State Economically Backward Classes Welfare and Development Corporation Ltd (APSEBCWDC),BCW01
382,EFS51,FDC,AO,AP Forests Development Corporation,EFS01
383,EFS52,BIO,AO,AP Biodiversity Board,EFS01
384,EFS53,PCB,AO,AP Pollution Control Board,EFS01
385,EFS54,FOA,AO,AP Forest Academy,EFS01
386,EFS55,EPT,AO,Environment Protection Training and Research Institute,EFS01
387,EFS56,NAR,AO,Centre for forest and natural resources management studies (CEFNARM),EFS01
388,EFS57,RSA,AO,AP State Remote Sensing Application Centre,EFS01
389,EFS58,NGC,AO,National Green Corps,EFS01
390,EFS59,COS,AO,AP State Council of Science & Technology (APCOST),EFS01
1743,EFS60,KGC,AO,AP Mission for Clean Krishna Godavari Canals,EFS01
1760,EFS61,EMC,AO,AP  Environment Management Corporation,EFS01
391,EHE51,ADU,AO,Andhra University,EHE73
392,EHE52,SVU,AO,Sri Venkateswara University,EHE73
393,EHE53,ANU,AO,Nagarjuna University,EHE73
394,EHE54,KDU,AO,Sri Krishna Devaraya University,EHE73
395,EHE55,BRU,AO,Dr. B.R. Ambedkar Open University,EHE01
396,EHE56,PMV,AO,Sri Padmavathi Mahila Viswa Vidyalayam,EHE73
397,EHE57,POT,AO,Potti Sriramulu Telugu University,EHE01
398,EHE58,PTU,AO,Dravidian University,EHE73
399,EHE59,BRL,AO,"Sir C.P Brown Memorial Library, Kadapa",ESE01
400,EHE60,NNU,AO,Adikavi Nannaya University,EHE73
401,EHE61,RKT,AO,Rajiv Gandhi University of Knowledge Technologies,EHE73
402,EHE62,YVU,AO,Yogi Vemana University,EHE73
403,EHE63,AMU,AO,"Ambedkar University, Srikakulam",EHE01
404,EHE64,KRU,AO,"Krishna University, Machilipatnam",EHE73
405,EHE65,RAU,AO,"Rayalaseema University, Kurnool",EHE73
406,EHE66,VKU,AO,"Vikramasimhapuri University, Nellore",EHE73
407,EHE67,URU,AO,Urdu University,EHE73
408,EHE68,TLU,AO,Telugu University,EHE01
409,EHE69,SCI,AO,AP Science Academy,EHE01
410,EHE70,JNK,AO,"Jawharlal Nehru Technological University, Kakinada",EHE73
411,EHE71,JNA,AO,"Jawharlal Nehru Technological University, Ananthapur",EHE73
412,EHE72,FCI,AO,"Food Crafts Institute, Visakhapatnam",ESE01
413,EHE73,CHE,AO,AP State Council for Higher Education,EHE01
414,EHE74,TET,AO,State Board of Technical Education and Training,EHE01
1740,EHE75,RSV,AO,Rashtriya Sanskrit Vidyapeetha,EHE01
1762,EHE76,HRC,AO,AP Higher Education Regulatory and Monitoring Commission,EHE01
1763,EHE77,AFA,AO,Dr. YSR Architecture and Fine Arts University,EHE73
1769,EHE78,TAI,AO,Telugu and Sanskrit Akademi,EHE01
1789,EHE79,JNV,AO,"Jawharlal Nehru Technological University, Gurajada Vizianagaram",EHE73
1804,EHE80,AKU,AO,Andhra Kesari University,EHE01
415,ENE51,TNC,AO,AP Transco,ENE01
416,ENE52,GEN,AO,AP Genco,ENE01
